cond,a_tot,i_tot,c_tot,mfqA1,mfqA2,mfqA3,mfqA4,mfqA5,mfqA6,mfqA7,mfqA8,mfqA9,mfqA10,mfqA11,mfqA12,mfqA13,mfqA14,mfqA15,mfqA16,mfqA17,mfqA18,mfqA19,mfqA20,mfqA21,mfqA22,mfqA23,mfqA24,mfqA25,mfqA26,mfqA27,mfqA28,mfqA29,mfqA30,mfqA31,mfqB1,mfqB2,mfqB3,mfqB4,mfqB5,mfqB6,mfqB7,mfqB8,mfqB9,mfqB10,mfqB11,mfqB12,mfqB13,mfqB14,mfqB15,mfqB16,mfqB17,mfqB18,mfqB19,mfqB20,mfqB21,mfqB22,mfqB23,mfqB24,mfqB25,mfqB26,mfqB27,mfqB28,mfqB29,mfqB30,mfqB31,mfqB32,mfqB33,mfqB34,mfqB35,mfqB36,mfqB37,rf1,rf2,rf3,rf4,rf5,rf6,rf7,rf8,rf9,rf10,rf11,rf12,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,ie1,ie2,ie3,ie4,ie5,ie6,ie7,ie8,ie9,ie10,ie11,ie12,ie13,ie14,ie15,ie16,ie17,ie18,ie19,ie20,sex,age,race,race_text,ses,income,edu,big,relaff,relaff_text,if_rel,pray,relserv,relint,for_policy,eco_policy,soc_policy,rel_policy,polaff,purpose,purpose_check,Study for how life is associated to God,study_check,task_related,tr_explain,task_affect,ta_explain,sut_susp,ss_explain,sut_theme,st_explain,goal,goal_explain,random,random,LocationLatitude,LocationLongitude,India,other,us,sf
2,,1,,3,4,3,4,5,4,2,2,2,4,3,3,2,3,2,4,2,5,4,5,5,5,5,4,4,5,5,5,4,6,5,5,4,4,3,4,5,3,3,4,5,4,4,5,3,3,4,4,4,3,4,4,5,4,5,5,4,5,4,3,4,5,5,5,6,4,3,4,7,6,7,7,7,6,7,7,7,8,7,8,7,6,7,7,5,7,7,9,6,5,7,6,7,6,4,7,6,5,4,7,6,5,7,6,8,7,7,5,8,7,8,7,2,28,2,,2,3,5,1,4,,3,5,4,6,4,6,6,5,4,"To know the perception about personalities,values and attitudes.",0,"To know the perception about personalities,values and attitudes.",0,2,,2,,2,,2,,2,,135,135,1.293106079,103.8558044,0,singapore,2,0
2,,1,,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,6,6,6,3,3,3,4,1,4,4,5,5,3,3,3,3,4,4,4,4,4,2,4,1,5,2,4,2,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,5,4,5,5,5,5,3,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,47,1,,5,4,3,1,1,,4,6,2,8,4,4,4,4,4,PERSONAL VIEWS,0,Personal views regardng religion,0,2,,2,,2,,1,they had to do with religion,2,,136,136,41.8500061,-87.65000153,0,,1,0
0,,,1,4,5,4,5,3,5,4,5,4,3,5,4,3,5,4,5,4,3,5,4,5,4,5,5,3,5,4,5,4,5,4,3,5,4,3,5,4,5,3,5,4,5,4,5,4,5,4,5,5,4,5,4,3,5,4,5,4,3,4,5,4,5,4,2,5,4,3,5,7,8,7,6,6,5,7,6,7,8,8,6,6,7,8,7,6,5,6,8,5,6,7,6,6,7,7,5,6,5,6,7,5,6,5,4,5,6,7,8,7,5,6,5,1,67,2,,3,1,4,1,4,,5,6,6,9,6,5,4,5,4,This was a survey about values and attitudes.,0,This was a survey about values and attitudes.,0,2,,2,,2,,2,,2,,137,137,18.9750061,72.82580566,1,,0,0
0,,,1,4,6,3,4,5,6,4,4,5,6,5,3,5,5,4,4,6,6,5,6,6,6,5,3,6,6,4,5,5,6,6,5,6,5,5,6,6,6,5,6,2,6,5,5,3,4,6,6,5,4,2,4,1,5,5,4,4,6,6,6,5,6,6,6,6,5,6,3,6,8,2,9,7,6,6,6,9,8,7,9,8,5,6,2,6,9,3,5,5,9,2,4,9,5,9,5,7,8,6,9,6,8,8,7,6,4,3,5,8,6,6,8,1,32,2,,3,4,4,1,3,,2,4,3,5,7,4,2,5,3,Evaluating religious and social beliefs and attitudes,0,religious considerations in everyday life and social equality,0,2,,2,,2,,2,,2,,141,141,16.93330383,82.21670532,1,,0,0
2,,1,,5,5,5,4,2,1,2,2,4,5,6,5,4,5,2,3,2,6,5,5,5,5,2,5,6,6,4,5,5,6,5,5,6,5,5,5,6,5,5,5,5,4,3,5,4,2,2,4,4,5,4,5,6,5,5,6,5,6,5,5,5,5,4,5,6,2,5,5,8,9,8,7,8,7,8,8,4,4,7,3,7,1,7,8,8,3,5,7,7,8,1,6,8,6,8,7,8,9,8,8,9,7,6,8,7,8,8,8,6,8,6,8,2,25,2,,3,2,4,1,4,,5,5,4,9,6,6,7,2,4,"To judge situation and society , beliefs in God",0,Positive thinking manner,0,1,Religious services make some one perfect.,2,,2,,2,,1,To stay  as positive thinker,144,144,13.08329773,80.28329468,1,,0,0
1,1,,,4,4,4,3,3,4,5,5,4,3,4,5,5,5,5,4,4,4,5,3,4,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,5,4,4,4,3,4,3,4,4,5,4,4,4,5,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4,5,5,6,6,7,7,6,5,5,6,7,7,7,6,6,5,5,6,6,6,7,7,6,8,8,8,6,6,7,7,7,7,7,6,6,5,5,5,5,5,7,7,7,7,7,8,1,33,2,,3,2,5,1,4,,5,3,3,5,4,5,5,5,4,"religious,political view",0,"religious,political view",0,2,,2,,2,,2,,2,,146,146,27.71670532,75.48330688,1,,0,0
2,,1,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,57,2,,2,2,5,1,4,,5,6,3,5,4,4,4,4,4,value and attitude of the peoples,0,value and attitude of the peoples,0,2,about religion,2,do some positive attitude about religion,2,nothing,2,nothing,2,nothing,146,146,26.8500061,80.91668701,1,,0,0
2,,1,,1,5,4,4,5,5,5,5,6,4,2,5,6,5,6,6,4,6,5,6,6,6,5,6,6,6,5,6,4,6,6,4,5,5,5,6,6,5,4,6,2,6,3,4,3,2,3,5,4,5,4,5,3,4,5,3,3,6,6,6,5,4,5,4,5,5,6,4,6,6,4,9,8,7,5,5,8,5,5,5,5,5,6,6,5,5,4,6,6,6,6,6,7,6,8,5,8,7,7,7,5,7,6,5,5,6,6,6,6,6,7,8,1,21,2,,4,1,3,1,4,,1,5,5,7,2,2,2,2,6,To get a general view about what a normal person thinks about Religion.,0,Views of the Society on Religion.,0,2,,2,,2,,2,,2,,148,148,18.9750061,72.82580566,1,,0,0
1,1,,,1,6,6,6,5,5,5,4,5,4,4,5,5,4,5,4,3,4,5,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,6,5,6,5,6,6,7,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,5,6,6,6,6,5,6,6,6,6,5,6,5,6,5,6,5,5,1,30,2,,3,3,4,1,4,,3,4,4,7,2,2,2,2,6,"I think the purpose of this study is to gain a better understanding of how people think, feel and behave under various situations.",0,I think the purpose of this study is to understand how people's characteristics and behavior influence their thoughts and feelings in various contexts.,0,2,,2,,2,,2,,2,,153,153,27.71670532,85.31671143,0,nepal,2,0
1,1,,,5,5,5,4,4,3,4,4,4,4,4,3,4,4,3,4,3,4,4,4,3,4,4,4,4,4,5,4,5,4,4,5,4,4,4,4,3,4,5,5,4,4,4,5,4,4,5,4,5,4,4,5,4,4,5,4,4,5,4,5,4,4,4,4,4,4,5,4,7,6,5,6,7,6,5,6,7,5,6,6,7,6,5,6,7,6,5,6,6,7,6,5,6,7,6,5,6,5,6,7,6,5,6,7,6,5,6,5,6,7,6,5,1,25,2,,2,2,4,1,2,,4,4,4,6,6,5,5,6,4,To understand opinions,0,To make people's understand opinions,0,2,,2,,2,,2,,2,,155,155,13.08329773,80.28329468,1,,0,0
2,,1,,5,1,3,4,2,5,4,5,3,4,6,4,5,5,4,5,3,4,2,4,2,4,1,5,4,4,4,5,5,2,5,5,4,5,4,5,4,6,4,5,3,5,4,5,3,4,5,2,5,2,2,4,4,5,3,5,3,3,5,4,2,4,5,4,3,3,4,5,2,3,3,3,4,3,5,3,3,3,2,4,7,7,3,2,2,3,4,6,3,3,2,3,2,3,4,3,3,4,3,4,3,3,3,3,4,4,4,3,3,4,5,3,1,26,5,,4,4,4,3,7,,1,2,2,3,4,4,1,5,5,what is your  belif in god,0,your reasoning skills,0,2,,2,,1,having to do with church,2,,2,,155,155,39.52960205,-119.813797,0,,1,0
2,,1,,4,5,6,4,6,4,5,5,5,5,6,5,5,5,6,6,5,6,6,5,5,6,5,6,5,6,5,5,5,6,6,4,5,6,6,5,6,5,4,6,1,6,4,5,2,2,6,6,5,5,5,4,2,5,6,5,5,6,5,5,5,6,5,5,5,6,5,5,8,6,4,7,7,4,8,6,8,6,8,6,8,5,7,7,4,4,4,6,4,6,2,5,7,6,8,6,8,9,8,6,6,6,8,9,9,8,4,7,7,7,7,9,2,38,2,,2,2,4,1,4,,5,6,5,7,2,2,2,2,4,"no idea
",0,religion and belief,0,2,N/A,2,no,2,,2,,2,,155,155,10.51669312,76.21670532,1,,0,0
2,,0,,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,6,4,5,4,6,5,5,4,6,5,5,4,5,4,5,4,6,5,5,4,5,4,5,4,6,5,4,5,4,6,5,4,6,4,5,4,5,5,4,5,4,5,5,4,5,4,5,8,7,6,8,6,8,6,8,6,8,6,8,8,7,6,9,8,7,6,8,8,6,8,7,8,7,6,8,7,6,7,8,7,6,8,6,8,7,8,7,6,9,8,7,1,28,2,,3,5,5,1,1,,4,5,5,8,6,5,7,6,4,high winds the flies,1,high winds the flies,1,1,nice,1,high winds the flies,1,high winds the flies,2,,2,,163,163,11.1000061,77.3500061,1,,0,0
2,,1,,5,5,1,5,1,5,1,1,4,1,5,1,1,1,1,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,4,5,5,5,5,5,5,5,6,2,5,5,3,1,4,6,6,5,5,2,5,1,3,5,6,5,6,5,5,5,5,5,5,6,6,6,4,8,2,6,9,7,8,3,8,7,9,8,2,7,7,7,7,6,2,2,6,7,8,8,8,8,7,9,7,8,7,6,7,7,8,6,7,8,7,6,6,8,7,7,8,2,34,2,,2,3,4,1,4,,3,5,4,5,2,2,2,3,6,ABOUT THE ATTITUDES TOWARDS RELIGION,0,ABOUT THE BELIEVES OF THE SOCIAL NORMS.,0,2,,2,,2,,2,,2,,168,168,13.08329773,80.28329468,1,,0,0
2,,1,,4,5,6,4,5,3,4,6,4,5,3,4,6,4,5,5,3,4,6,5,4,6,5,5,3,4,5,5,3,4,5,5,3,6,5,5,3,4,6,5,3,4,3,5,3,4,6,5,5,3,4,6,5,5,2,3,5,4,5,3,4,5,5,5,3,4,2,3,8,3,6,7,8,4,6,7,8,4,6,7,8,3,4,6,7,5,7,5,7,3,5,7,8,7,4,5,7,8,4,7,4,5,8,6,7,4,8,4,6,4,6,5,1,31,5,,4,2,2,1,1,,3,4,5,8,6,4,5,7,5,To survey people about there religion,0,Not sure,0,2,,2,,2,,2,,2,,171,171,32.42500305,-99.79759979,0,,1,0
0,,,1,4,5,3,3,4,3,4,2,3,3,4,2,4,3,3,3,3,5,4,5,5,5,5,5,6,6,5,6,3,6,6,5,5,4,4,3,3,4,5,6,5,4,4,3,4,5,3,3,5,4,5,4,4,3,4,5,4,6,3,4,4,3,3,6,5,5,4,6,8,7,7,4,5,4,5,6,4,8,8,8,5,6,4,5,4,3,5,5,5,4,6,8,4,5,4,6,7,6,5,4,5,4,6,6,5,6,5,4,7,6,6,5,1,26,2,,4,1,4,1,4,,5,4,4,6,3,4,4,5,4,about overall study of   attitudes and study,0,to improve  study of   attitudes and study,0,2,no more comments,2,no more comments,2,no more comments,2,no more comments,2,no more comments,174,174,,,1,,0,0
1,1,,,1,4,5,2,6,6,6,1,6,1,3,1,6,6,6,5,4,5,3,5,4,5,5,5,5,4,1,5,2,5,5,6,6,6,6,6,4,5,5,5,1,1,4,5,2,4,5,5,1,5,1,5,1,5,5,4,4,5,5,2,5,5,4,5,4,2,5,5,4,6,6,6,2,1,2,2,6,3,7,8,4,2,6,8,4,2,2,4,4,2,3,4,4,6,6,7,7,7,3,7,8,6,3,4,6,8,7,7,8,8,4,6,2,19,3,,4,2,3,1,2,,1,2,3,5,2,2,2,2,6,examine religion and ethics,0,religion and ethics,0,,,2,,2,,2,,2,,179,179,30.03779602,-95.5326004,0,,1,0
0,,,1,4,4,3,4,3,4,2,3,3,3,2,3,2,2,3,3,3,4,5,4,3,4,4,3,4,5,4,4,3,3,5,5,3,3,4,3,2,3,4,3,3,3,4,4,4,4,3,4,3,4,3,4,3,3,4,6,4,4,5,4,4,4,4,3,4,4,4,5,7,6,5,6,5,5,6,4,6,6,5,5,5,6,6,5,4,5,6,5,5,6,6,4,6,7,5,6,6,7,5,6,7,7,6,5,6,6,5,6,6,5,5,6,1,24,2,,5,1,5,1,4,,3,4,5,7,6,5,4,5,4,it gives social awarness for me then it shows who am i in this world,0,i think only social awarness,0,1,i am related in religion related topics ,2,,2,,2,,2,,179,179,13.08329773,80.28329468,1,,0,0
0,,,1,4,5,6,6,5,4,6,5,5,5,4,5,6,6,5,5,5,6,5,5,6,6,5,3,3,6,4,5,5,5,6,4,5,2,5,5,6,4,4,5,3,6,2,1,2,4,5,5,2,3,3,5,1,3,4,1,5,5,5,5,4,5,4,5,5,2,5,4,8,6,8,9,8,9,7,8,9,8,4,6,8,7,7,6,6,4,3,7,7,7,3,7,8,6,8,6,7,6,7,7,8,7,8,8,8,2,3,8,7,6,7,8,2,33,2,,3,1,5,1,4,,3,3,4,7,2,2,2,5,6,It was about equality and Religious beliefs.,0,"Change in religious beliefs and importance of religion in today's life, Importance of equality",0,2,,2,,2,,2,,2,,182,182,28.66670227,77.21670532,1,,0,0
2,,1,,1,6,3,3,4,5,5,4,4,4,3,4,5,5,3,4,4,2,1,1,4,4,4,4,2,5,1,5,5,6,3,3,4,4,4,4,4,4,3,2,1,4,3,4,1,2,3,4,2,5,5,2,2,1,5,3,3,4,4,4,5,4,4,2,6,3,5,5,7,1,9,1,5,9,1,7,1,5,7,1,3,7,9,6,7,9,1,7,8,2,3,3,1,8,1,6,3,1,8,4,1,9,1,2,8,9,9,1,1,9,7,1,2,56,5,,3,5,4,1,1,,5,6,5,9,5,5,3,5,3,to evaluate what portion of the population still believes in God? ,0,the amount of religious belief one applies in life?,0,1,"see above ""study"" response; 
don't know, but if they weren't then why include them?",1,made me think through my beliefs,1,"they were about worship etc, , ""religious"" topics. Kind of refreshing actually",1,religious subjects,2,,185,185,34.30839539,-77.80280304,0,,1,0
1,1,,,4,5,3,6,2,3,4,3,4,4,4,5,5,6,6,1,3,6,3,3,5,4,5,5,3,6,3,6,6,6,6,6,5,4,5,6,4,6,5,6,5,5,6,6,3,6,5,4,5,4,5,4,6,5,4,3,5,5,5,4,6,5,4,3,5,6,4,5,9,6,7,8,6,4,6,5,6,7,6,7,8,7,7,8,8,9,8,9,8,7,8,9,9,7,8,7,7,8,7,6,8,7,7,6,7,6,8,6,7,7,6,9,2,32,2,,1,4,5,1,4,,5,6,4,9,6,7,7,7,2,THE RELIGIOUS AND BEHAVIOR AND SOCITY THOUGHT OF COMMON MAN,0,"COMMOM MAN BEHAVIOR ABOUT RELIGION, AND SOCITY THOUGHTS.",0,2,,2,,2,,2,,2,,192,192,13.08329773,80.28329468,1,,0,0
1,1,,,1,3,5,4,5,5,4,5,3,5,1,5,4,4,6,6,4,3,1,6,4,6,6,4,4,2,1,6,6,6,6,5,4,5,5,6,6,5,3,6,3,6,4,3,4,3,1,4,5,4,2,5,4,3,5,1,3,6,3,3,1,4,1,4,5,2,4,3,7,5,9,3,5,8,6,6,3,5,8,7,6,1,5,1,1,1,1,1,1,1,1,1,5,5,7,3,7,7,7,6,6,6,4,5,7,5,4,5,6,5,6,7,2,25,1,,3,2,4,1,6,,3,2,2,7,4,4,4,4,4,I think this study was about what we thought about opinions on religion or life,0,opinions on religion,0,2,,2,,1,one of the sentences use the word once instead of wants when I was unscrambling was kind of wierd,1,it was about religion,2,,192,192,33.72419739,-84.46829987,0,,1,0
2,,1,,5,4,5,5,5,4,6,6,5,5,6,5,5,5,5,5,6,6,5,5,5,6,6,5,5,6,6,5,5,6,5,5,6,6,5,5,5,6,6,5,5,6,6,5,5,6,6,6,5,6,5,5,6,5,4,5,5,6,5,5,5,5,5,5,6,5,6,5,8,9,9,8,8,8,7,7,7,7,8,9,6,7,8,8,8,8,8,7,9,9,8,8,8,8,7,9,8,6,7,7,7,8,9,6,8,8,9,8,8,7,9,8,1,25,2,,3,1,3,1,4,,4,6,5,7,6,6,7,7,6,about self emprovement,0,nice,1,2,,2,,2,,2,,2,,193,193,13.08329773,80.28329468,1,,0,0
0,,,1,6,6,5,6,6,5,5,6,6,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,5,6,6,5,5,6,6,5,6,5,5,6,5,6,5,5,6,6,6,5,5,6,5,5,6,5,5,6,5,6,5,6,5,6,5,9,1,2,3,3,5,8,4,9,3,9,9,9,8,8,9,8,8,9,9,8,9,9,9,9,8,8,9,9,8,9,8,9,8,9,8,9,8,8,9,8,9,9,8,1,22,2,,3,1,4,1,4,,5,5,5,9,7,6,6,7,1,very useful,1,very interesting,1,2,,2,,2,,2,,2,,194,194,37.98330688,23.73330688,0,greece,2,0
0,,,1,1,4,4,5,5,5,6,4,6,5,4,4,5,5,5,4,5,5,5,4,5,6,5,4,4,6,4,5,5,6,6,4,4,5,5,5,6,5,5,5,3,4,3,3,2,2,3,4,2,4,3,4,1,4,4,4,2,5,4,4,3,4,5,5,6,4,4,3,9,3,6,3,8,5,5,5,1,3,8,3,4,3,6,2,6,7,2,5,4,2,2,4,2,7,3,7,7,5,4,5,1,7,2,2,7,7,5,2,1,7,9,8,1,28,5,,2,5,4,1,2,,4,4,5,9,3,3,4,4,4,To study attitudes towards religion.,0,The role of religion in people's lives.,0,2,,2,,2,,2,,2,,194,194,20,77,1,,0,0
